Candidate,Party,State,constituency
Smt. Kirron Kher(Leading),Dr. Banshilal Mahto (BJP),Chandigarh,Chandigarh
Manish Tewari(Won),Dr. Banshilal Mahto (BJP),Punjab,Anandpur Sahib
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Preneet Kaur(Won),Dr. Banshilal Mahto (BJP),Punjab,Patiala
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Preneet Kaur(Won),Dr. Banshilal Mahto (BJP),Punjab,Patiala
Bhagwant Mann(Leading),Dr. Banshilal Mahto (BJP),Punjab,Sangrur
Dr. Amar Singh(Leading),Dr. Banshilal Mahto (BJP),Punjab,Fatehgarh Sahib
Ravneet Singh Bittu(Won),Dr. Banshilal Mahto (BJP),Punjab,Ludhiana
Santokh Singh Shaudhary(Won),Dr. Banshilal Mahto (BJP),Punjab,Jalandhar
Sh. Som Prakash(Won),Dr. Banshilal Mahto (BJP),Punjab,Hoshiarpur
Sunny Deol(Leading),Dr. Banshilal Mahto (BJP),Punjab,Gurdaspur
Gurjit Singh Aujla(Won),Dr. Banshilal Mahto (BJP),Punjab,Amritsar
Jasbir Singh Gill (Dimpa)(Won),Dr. Banshilal Mahto (BJP),Punjab,Khadoor Sahib
Sukhbir Singh Badal(Won),Dr. Banshilal Mahto (BJP),Punjab,Firozpur
Jasbir Singh Gill (Dimpa)(Won),Dr. Banshilal Mahto (BJP),Punjab,Khadoor Sahib
Mohd. Sadique(Leading),Dr. Banshilal Mahto (BJP),Punjab,Faridkot
Harsimrat Kaur Badal(Won),Dr. Banshilal Mahto (BJP),Punjab,Bathinda
Brijendra Singh(Won),Dr. Banshilal Mahto (BJP),Haryana,Hisar
Shri Dharmvir Singh(Leading),Dr. Banshilal Mahto (BJP),Haryana,Bhiwani-Mahendragarh
Arvind Sharma(Leading),Dr. Banshilal Mahto (BJP),Haryana,Rohtak
Jayant Chaudhary(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Baghpat
Malook Nagar(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bijnor
MALA RAJYA LAXMI SHAH(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Tehri Garhwal
Shri Suresh Kashyap(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Shimla
Shri Jamyang Tsering Namgyal(Leading),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Ladakh
Shri Ramswroop Sharma(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Mandi
Shri Anurag Thakur(Leading),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Hamirpur
Shri Kishan Kapoor(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Kangra
Dr. Jitendra Singh(Leading),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Udhampur
Shri Jugal Kishore Sharma(Leading),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Jammu
Mohammad Akbar Lone(Leading),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Baramulla
Farooq Abdullah(Won),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Srinagar
Hasnain Masoodi(Won),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Anantnag
Shri Jamyang Tsering Namgyal(Leading),Dr. Banshilal Mahto (BJP),Jammu and Kashmir,Ladakh
Shri Ramswroop Sharma(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Mandi
MALA RAJYA LAXMI SHAH(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Tehri Garhwal
Pankaj Choudhary(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Maharajganj
Shri Tirath Singh Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Garhwal
MALA RAJYA LAXMI SHAH(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Tehri Garhwal
Shri Tirath Singh Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Garhwal
Shri Ajay Tamta(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Almora
Shri Suresh Kashyap(Won),Dr. Banshilal Mahto (BJP),Himachal Pradesh,Shimla
MALA RAJYA LAXMI SHAH(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Tehri Garhwal
Dr. Ramesh Pokhriyal (Nishank)(Won),Dr. Banshilal Mahto (BJP),Uttarakhand,Hardwar
Shri Tirath Singh Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Garhwal
Dr. Ramesh Pokhriyal (Nishank)(Won),Dr. Banshilal Mahto (BJP),Uttarakhand,Hardwar
Haji Fazulrahman(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Saharanpur
Pradeep Choudhary(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kairana
Sanjeev Balyanl(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Muzaffarnagar
Jayant Chaudhary(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Baghpat
V. K. Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Ghaziabad
Mahesh Sharma(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Gautam Buddha Nagar
Bhola Singh(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bulandshahr
Sangh Mitra Maurya(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Badaun
Santosh Kumar Gangwar(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bareilly
Shree Azam Khan(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Rampur
Shree Shafiqur Rahman Barq(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Sambhal
Kunwar Danish Ali(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Amroha
Malook Nagar(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bijnor
Girish Chandra(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Nagina
Shri Ajay Bhatt(Won),Dr. Banshilal Mahto (BJP),Uttarakhand,Nainital-Udhamsingh Nagar
Shri Ajay Tamta(Leading),Dr. Banshilal Mahto (BJP),Uttarakhand,Almora
Arun Sagar(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Shahjahanpur
Varun Gandhi(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Pilibhit
Dharmendra Kashyap(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Aonla
Sangh Mitra Maurya(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Badaun
Satish Kumar Gautam(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Aligarh
Hema Malini(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mathura
Raj Kumar Chaher(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Fatehpur Sikri
Chandra Sen Jadun(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Firozabad
S. P. Singh Baghel(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Agra
Rajveer Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Etah
Mukesh Rajput(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Farrukhabad
Dharmendra Kashyap(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Aonla
Arun Sagar(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Shahjahanpur
Ajay Kumar Mishra(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kheri
Rekha Verma(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Dhaurahra
Akshayvara Lal Gaud(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Bahraich
Brij Bhushan Sharan Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kaiserganj
Upendra Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Barabanki
Kaushal Kishore(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mohanlalganj
Jai Prakash Rawat(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Hardoi
Mukesh Rajput(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Farrukhabad
Shree Mulayam Singh Yadav(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mainpuri
Ram Katheria(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Etawah
Bhanu Pratap Singh Verma(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Jalaun
Devendra Singh Bhole(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Akbarpur
Ashok Kumar Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Misrikh
Devendra Singh Bhole(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Akbarpur
Satyadev Pachauri(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kanpur
Sakshi Maharaj(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Unnao
Kaushal Kishore(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Mohanlalganj
Rajnath Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Lucknow
Upendra Rawat(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Barabanki
Brij Bhushan Sharan Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kaiserganj
Kirti Vardhan Singh(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Gonda
Shri Ramasheromani Verma(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Shrawasti
Jagdambika Pal(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Domariyaganj
Smt Annapurna Devi Yadav(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Kodarma
Vijay Dubey(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kushi Nagar
Ravi Kishan(Won),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Gorakhpur
Pankaj Choudhary(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Maharajganj
Harish Dwivedi(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Basti
Brij Bhushan Sharan Singh(Leading),Dr. Banshilal Mahto (BJP),Uttar Pradesh,Kaiserganj
