Candidate,Party,State,constituency
Gaurav Gogoi(Leading),Dr. Banshilal Mahto (BJP),Assam,Kaliabor
Sjt. Pallab Lochan Das(Leading),Dr. Banshilal Mahto (BJP),Assam,Tezpur
Shri Kiren Rijiju(Leading),Dr. Banshilal Mahto (BJP),Arunachal Pradesh,Arunachal West
Shri Tapir Gao(Leading),Dr. Banshilal Mahto (BJP),Arunachal Pradesh,Arunachal East
Shri Pradan Baruah(Leading),Dr. Banshilal Mahto (BJP),Assam,Lakhimpur
Shri Rameswar Teli(Leading),Dr. Banshilal Mahto (BJP),Assam,Dibrugarh
Shri Tapan Gogai(Leading),Dr. Banshilal Mahto (BJP),Assam,Jorhat
K.L.Chishi(Leading),Dr. Banshilal Mahto (BJP),Nagaland,Nagaland
Gaurav Gogoi(Leading),Dr. Banshilal Mahto (BJP),Assam,Kaliabor
Shri Horensingh Bey(Leading),Dr. Banshilal Mahto (BJP),Assam,Autonomous District
Pradyut Bordoloi(Leading),Dr. Banshilal Mahto (BJP),Assam,Nowgong
Gaurav Gogoi(Leading),Dr. Banshilal Mahto (BJP),Assam,Kaliabor
Vincent H Pala(Won),Dr. Banshilal Mahto (BJP),Meghalaya,Shillong
AGATHA K. SANGMA(Leading),Dr. Banshilal Mahto (BJP),Meghalaya,Tura
Badruddin Ajmal(Leading),Dr. Banshilal Mahto (BJP),Assam,Dhubri
Shri Horensingh Bey(Leading),Dr. Banshilal Mahto (BJP),Assam,Autonomous District
K.L.Chishi(Leading),Dr. Banshilal Mahto (BJP),Nagaland,Nagaland
Lorho S. Pfoze(Leading),Dr. Banshilal Mahto (BJP),Manipur,Outer Manipur
Dr Rajkumar Ranjan Singh(Leading),Dr. Banshilal Mahto (BJP),Manipur,Inner Manipur
Dr Rajdeep Roy Bengali(Leading),Dr. Banshilal Mahto (BJP),Assam,Silchar
Shri Kripanath Mallah(Leading),Dr. Banshilal Mahto (BJP),Assam,Karimganj
C Lalrosanga(Won),Dr. Banshilal Mahto (BJP),Mizoram,Mizoram
Rebati Tripura(Leading),Dr. Banshilal Mahto (BJP),Tripura,Tripura East
Shri Rebati Tripura(Leading),Dr. Banshilal Mahto (BJP),Tripura,Tripura West
Rebati Tripura(Leading),Dr. Banshilal Mahto (BJP),Tripura,Tripura East
Mimi Chakraborty(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jadavpur
Shri Jayant Sinha(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Hazaribagh
Shri Nishikant Dubey(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Godda
Abu Hasem Khan Chowdhury(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Dakshin
Shri Khagen Murmu(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Uttar
Abu Hasem Khan Chowdhury(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Dakshin
Khalilur Rehman(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jangipur
Vijay Hansda (JMM)(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Rajmahal
Shri Nishikant Dubey(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Godda
Chirag Kumar Paswan (LJP)(Won),Dr. Banshilal Mahto (BJP),Bihar,Jamui
Smt Annapurna Devi Yadav(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Kodarma
Shri Jayant Sinha(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Hazaribagh
Shri Sunil Singh(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Chatra
Shri Vishnu Dayal Ram(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Palamau
Shri Sunil Singh(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Chatra
Shri Sudarshan Bhagat(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Lohardaga
Shri Arjun Munda(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Khunti
Smt Geeta Kora (INC)(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Singhbhum
Shri Sanjay Seth(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Ranchi
Shri Jyotirmoy Mahto(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Purulia
Chandraprakash Choudhary(AJSU)(Won),Dr. Banshilal Mahto (BJP),Jharkhand,Giridih
Shri Jayant Sinha(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Hazaribagh
Shri Pashupati Nath Singh(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Dhanbad
Shri Sunil Soren(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Dumka
Vijay Hansda (JMM)(Leading),Dr. Banshilal Mahto (BJP),Jharkhand,Rajmahal
Satabdi Roy(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Birbhum
Khalilur Rehman(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jangipur
Abu Hasem Khan Chowdhury(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Maldaha Dakshin
Khalilur Rehman(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jangipur
Abu Taher Khan(Won),Dr. Banshilal Mahto (BJP),West Bengal,Murshidabad
Adhir Ranjan Chowdhury(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Baharampur
Asit Kumar Mal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bolpur
Shri S. S. Ahluwaliya(Won),Dr. Banshilal Mahto (BJP),West Bengal,Burdwan-Durgapur
Shri Babul Supriyo(Won),Dr. Banshilal Mahto (BJP),West Bengal,Asansol
Dr Subhash Sarkar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bankura
Shri Jyotirmoy Mahto(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Purulia
Dr Kunar Hembram(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Jhargram
Shri Dilip Ghosh(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Medinipur
Dev (Deepak Adhikari)(Won),Dr. Banshilal Mahto (BJP),West Bengal,Ghatal
SUNIL KUMAR MONDAL(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bardhaman Purba
Aparupa Poddar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Arambagh
SUNIL KUMAR MONDAL(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bardhaman Purba
Smt. Locket chaterjee(Won),Dr. Banshilal Mahto (BJP),West Bengal,Hooghly
Dr Mukut Mani Adhikari(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Ranaghat
Shri Shantanu Thakur(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bangaon
Pratima Mondal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Joynagar
Mimi Chakraborty(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jadavpur
Pratima Mondal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Joynagar
Choudhary Mohan Jatua(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Mathurapur
Abhishek Banerjee(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Diamond Harbour
Sajda Ahmed(Won),Dr. Banshilal Mahto (BJP),West Bengal,Uluberia
Dibyendu Adhikari(Won),Dr. Banshilal Mahto (BJP),West Bengal,Tamluk
Sisir Adhikari(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Kanthi
Dev (Deepak Adhikari)(Won),Dr. Banshilal Mahto (BJP),West Bengal,Ghatal
Aparupa Poddar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Arambagh
Smt. Locket chaterjee(Won),Dr. Banshilal Mahto (BJP),West Bengal,Hooghly
Dinesh Trivedi(),Dr. Banshilal Mahto (BJP),West Bengal,Barrackpore
Dr Kakoli Ghosh Dastidar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Barasat
Nusrat Jahan(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Basirhat
Pratima Mondal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Joynagar
Mimi Chakraborty(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jadavpur
Pratima Mondal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Joynagar
Mimi Chakraborty(Won),Dr. Banshilal Mahto (BJP),West Bengal,Jadavpur
Mala Roy(Won),Dr. Banshilal Mahto (BJP),West Bengal,Kolkata Dakshin
Sudip Bandyopadhyay(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Kolkata Uttar
Kalyan Banerjee(Won),Dr. Banshilal Mahto (BJP),West Bengal,Srerampur
Abhishek Banerjee(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Diamond Harbour
Shri Dilip Ghosh(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Medinipur
Dr Kunar Hembram(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Jhargram
Dr Subhash Sarkar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bankura
Shri Soumitra Kha(Won),Dr. Banshilal Mahto (BJP),West Bengal,Bishnupur
Dr Subhash Sarkar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bankura
Shri Babul Supriyo(Won),Dr. Banshilal Mahto (BJP),West Bengal,Asansol
Dr Subhash Sarkar(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bankura
Shri Jyotirmoy Mahto(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Purulia
Asit Kumar Mal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bolpur
Satabdi Roy(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Birbhum
Asit Kumar Mal(Leading),Dr. Banshilal Mahto (BJP),West Bengal,Bolpur
Smt. Gomtee Sai(Won),Dr. Banshilal Mahto (BJP),Chhattisgarh,Raigarh
Khalilur Rehman(Won),Vishnu Deo Sai (BJP),West Bengal,Jangipur
Shri Sunil Soren(Leading),Vishnu Deo Sai (BJP),Jharkhand,Dumka
Vijay Hansda (JMM)(Leading),Vishnu Deo Sai (BJP),Jharkhand,Rajmahal
Shri Nishikant Dubey(Leading),Vishnu Deo Sai (BJP),Jharkhand,Godda
Smt Annapurna Devi Yadav(Leading),Vishnu Deo Sai (BJP),Jharkhand,Kodarma
Shri Sunil Singh(Leading),Vishnu Deo Sai (BJP),Jharkhand,Chatra
Shri Vishnu Dayal Ram(Leading),Vishnu Deo Sai (BJP),Jharkhand,Palamau
Shri Sunil Singh(Leading),Vishnu Deo Sai (BJP),Jharkhand,Chatra
Shri Sudarshan Bhagat(Leading),Vishnu Deo Sai (BJP),Jharkhand,Lohardaga
Shri Arjun Munda(Leading),Vishnu Deo Sai (BJP),Jharkhand,Khunti
Smt Geeta Kora (INC)(Leading),Vishnu Deo Sai (BJP),Jharkhand,Singhbhum
Shri Vidhyut Varan Mahato(Leading),Vishnu Deo Sai (BJP),Jharkhand,Jamshedpur
Shri Sanjay Seth(Leading),Vishnu Deo Sai (BJP),Jharkhand,Ranchi
Shri Nitesh Ganga Deb(Leading),Vishnu Deo Sai (BJP),Odisha,Sambalpur
Smt. Gomtee Sai(Won),Vishnu Deo Sai (BJP),Chhattisgarh,Raigarh
Shri Arjun Munda(Leading),Vishnu Deo Sai (BJP),Jharkhand,Khunti
Shri Jual Oram(Leading),Vishnu Deo Sai (BJP),Odisha,Sundargarh
Shri Dilip Ghosh(Leading),Vishnu Deo Sai (BJP),West Bengal,Medinipur
Shri Nitesh Ganga Deb(Leading),Vishnu Deo Sai (BJP),Odisha,Sambalpur
Shri Jual Oram(Leading),Vishnu Deo Sai (BJP),Odisha,Sundargarh
Chandrani Murmu(Leading),Vishnu Deo Sai (BJP),Odisha,Keonjhar
Manjulata Mandal(Leading),Vishnu Deo Sai (BJP),Odisha,Bhadrak
Anubhav Mohanty(Leading),Vishnu Deo Sai (BJP),Odisha,Kendrapara
Sarmishtha Sethi(Leading),Vishnu Deo Sai (BJP),Odisha,Jajpur
Mahesh Sahu(Leading),Vishnu Deo Sai (BJP),Odisha,Dhenkanal
Shri Nitesh Ganga Deb(Leading),Vishnu Deo Sai (BJP),Odisha,Sambalpur
Shri Suresh Pujari(Leading),Vishnu Deo Sai (BJP),Odisha,Bargarh
Smt. Gomtee Sai(Won),Vishnu Deo Sai (BJP),Chhattisgarh,Raigarh
Shri Sangeeta Kumari Singh Deo(Leading),Vishnu Deo Sai (BJP),Odisha,Bolangir
ACHYUTANANDA SAMANTA(Leading),Vishnu Deo Sai (BJP),Odisha,Kandhamal
Bhartruhari Mahtab(Leading),Vishnu Deo Sai (BJP),Odisha,Cuttack
Dr. Rajshree Malik(Leading),Vishnu Deo Sai (BJP),Odisha,Jagatsinghpur
Smt. Aparajita Sarangi(Leading),Vishnu Deo Sai (BJP),Odisha,Bhubaneswar
Dr. Sambit Patra(Leading),Vishnu Deo Sai (BJP),Odisha,Puri
Pramila Bisoi(Leading),Vishnu Deo Sai (BJP),Odisha,Aska
ACHYUTANANDA SAMANTA(Leading),Vishnu Deo Sai (BJP),Odisha,Kandhamal
Shri Sangeeta Kumari Singh Deo(Leading),Vishnu Deo Sai (BJP),Odisha,Bolangir
Kaushalya Hikaka(Leading),Vishnu Deo Sai (BJP),Odisha,Koraput
ACHYUTANANDA SAMANTA(Leading),Vishnu Deo Sai (BJP),Odisha,Kandhamal
Pramila Bisoi(Leading),Vishnu Deo Sai (BJP),Odisha,Aska
Dr. Sambit Patra(Leading),Vishnu Deo Sai (BJP),Odisha,Puri
Smt. Aparajita Sarangi(Leading),Vishnu Deo Sai (BJP),Odisha,Bhubaneswar
Dr. Sambit Patra(Leading),Vishnu Deo Sai (BJP),Odisha,Puri
CHANDRA SEKHAR SAHU(Leading),Vishnu Deo Sai (BJP),Odisha,Berhampur
Kaushalya Hikaka(Leading),Vishnu Deo Sai (BJP),Odisha,Koraput
Ramesh Manjhi(Leading),Vishnu Deo Sai (BJP),Odisha,Nabarangpur
Deepak Baij(Won),Vishnu Deo Sai (BJP),Chhattisgarh,Bastar
Ramesh Manjhi(Leading),Vishnu Deo Sai (BJP),Odisha,Nabarangpur
Deepak Baij(Won),Vishnu Deo Sai (BJP),Chhattisgarh,Bastar
Kaushalya Hikaka(Leading),Vishnu Deo Sai (BJP),Odisha,Koraput
CHANDRA SEKHAR SAHU(Leading),Vishnu Deo Sai (BJP),Odisha,Berhampur
K Ram Mohan Naidu(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Srikakulam
Bellani Chandrasekhar(),Vishnu Deo Sai (BJP),Andhra Pradesh,Vizianagaram
Dr Venkata Satyavathi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Anakapalli
vanga Geetha(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kakinada
Madhavi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Araku
Kotagiri Sridhar(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Eluru
Madhavi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Araku
Nageswara Rao Nama(Leading),Vishnu Deo Sai (BJP),Telangana,Khammam
Maloth Kavitha(Won),Vishnu Deo Sai (BJP),Telangana,Mahabubabad
Borlakunta Venkatesh Nethani(Won),Vishnu Deo Sai (BJP),Telangana,Peddapalle
Pasunuri Dayakar(Won),Vishnu Deo Sai (BJP),Telangana,Warangal
Shri Bandi Sanjay(Won),Vishnu Deo Sai (BJP),Telangana,Karimnagar
Shri D. Aravind(Leading),Vishnu Deo Sai (BJP),Telangana,Nizamabad
Balubhau alias Suresh Narayan Dhanorkar(Leading),Vishnu Deo Sai (BJP),Maharashtra,Chandrapur
Shri Ashok Mahadeorao Nete(Leading),Vishnu Deo Sai (BJP),Maharashtra,Gadchiroli-Chimur
Shri Mohan Mandav(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Kanker
Ramesh Manjhi(Leading),Vishnu Deo Sai (BJP),Odisha,Nabarangpur
Shri Mohan Mandav(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Kanker
Shri Chunnilal Sahu(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Mahasamund
Shri Guharam Ajgale(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Janjgir Champa
Smt. Renuka Singh(Won),Vishnu Deo Sai (BJP),Chhattisgarh,Sarguja
Shri Arun Saw(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Bilaspur
Shri Santosh Pandey(Leading),Vishnu Deo Sai (BJP),Chhattisgarh,Rajnandgaon
Shri Ashok Mahadeorao Nete(Leading),Vishnu Deo Sai (BJP),Maharashtra,Gadchiroli-Chimur
Shri Sunil Baburao Mendhe(Leading),Vishnu Deo Sai (BJP),Maharashtra,Bhandara-Gondiya
Shri Nitin Jairam Gadkari(Leading),Vishnu Deo Sai (BJP),Maharashtra,Nagpur
Krupal Balaji Tumane(Leading),Vishnu Deo Sai (BJP),Maharashtra,Ramtek
Shri Nitin Jairam Gadkari(Leading),Vishnu Deo Sai (BJP),Maharashtra,Nagpur
Navnit Ravi Rana(Leading),Vishnu Deo Sai (BJP),Maharashtra,Amravati
Bhawana Gawli(Leading),Vishnu Deo Sai (BJP),Maharashtra,Yavatmal-Washim
Shri Soyam Babu Rao(Won),Vishnu Deo Sai (BJP),Telangana,Adilabad
Shri D. Aravind(Leading),Vishnu Deo Sai (BJP),Telangana,Nizamabad
Shri Bandi Sanjay(Won),Vishnu Deo Sai (BJP),Telangana,Karimnagar
Borlakunta Venkatesh Nethani(Won),Vishnu Deo Sai (BJP),Telangana,Peddapalle
Pasunuri Dayakar(Won),Vishnu Deo Sai (BJP),Telangana,Warangal
Maloth Kavitha(Won),Vishnu Deo Sai (BJP),Telangana,Mahabubabad
Komatireddy Venkat Reddy(Won),Vishnu Deo Sai (BJP),Telangana,Bhongir
MANNE SRINIVAS REDDY(Won),Vishnu Deo Sai (BJP),Telangana,Mahbubnagar
BB Patil(Won),Vishnu Deo Sai (BJP),Telangana,Zahirabad
G Ranjith Reddy(Leading),Vishnu Deo Sai (BJP),Telangana,Chelvella
Kotha Prabhakar Reddy(Won),Vishnu Deo Sai (BJP),Telangana,Medak
A Revanth Reddy(Leading),Vishnu Deo Sai (BJP),Telangana,Malkajgiri
Komatireddy Venkat Reddy(Won),Vishnu Deo Sai (BJP),Telangana,Bhongir
N. Uttam Kumar Reddy(Won),Vishnu Deo Sai (BJP),Telangana,Nalgonda
Nageswara Rao Nama(Leading),Vishnu Deo Sai (BJP),Telangana,Khammam
Maloth Kavitha(Won),Vishnu Deo Sai (BJP),Telangana,Mahabubabad
Pasunuri Dayakar(Won),Vishnu Deo Sai (BJP),Telangana,Warangal
Shri D. Aravind(Leading),Vishnu Deo Sai (BJP),Telangana,Nizamabad
Shri Soyam Babu Rao(Won),Vishnu Deo Sai (BJP),Telangana,Adilabad
Balubhau alias Suresh Narayan Dhanorkar(Leading),Vishnu Deo Sai (BJP),Maharashtra,Chandrapur
Shri Soyam Babu Rao(Won),Vishnu Deo Sai (BJP),Telangana,Adilabad
P Ramulu(Won),Vishnu Deo Sai (BJP),Telangana,Nagarkurnool
P Brahmananda Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nandyal
Magunta Srinivasulu Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Ongole
P Brahmananda Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nandyal
Sanjeev Kumar(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kurnool
P Brahmananda Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nandyal
YS Avinash Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kadapa
P Brahmananda Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nandyal
YS Avinash Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kadapa
Raigarh,Vishnu Deo Sai (BJP),Andhra Pradesh,Anantapur
Gorantla Madav(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Hindupur
Shri A Narayana Swamy(Won),Vishnu Deo Sai (BJP),Karnataka,Chitradurga
Gorantla Madav(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Hindupur
PV Midun Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Rajampet
YS Avinash Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kadapa
Balle Durgaprasad(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Tirupati
Adala Prabhakar Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nellore
Magunta Srinivasulu Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Ongole
Nandigam Suresh(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Bapatla
Galla Jayadev(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Guntur
Kesineni Srinivas alias Nani(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Vijayawada
Kotagiri Sridhar(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Eluru
Vallabhaneni Bala Souri(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Machilipatnam
K Raghurama Krishnam Raju(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Narsapuram
Chinta Anuradha(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Amalapuram
vanga Geetha(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kakinada
Dr Venkata Satyavathi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Anakapalli
Madhavi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Araku
Bellani Chandrasekhar(),Vishnu Deo Sai (BJP),Andhra Pradesh,Vizianagaram
Madhavi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Araku
Kaushalya Hikaka(Leading),Vishnu Deo Sai (BJP),Odisha,Koraput
Madhavi(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Araku
Kotagiri Sridhar(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Eluru
Nageswara Rao Nama(Leading),Vishnu Deo Sai (BJP),Telangana,Khammam
Kesineni Srinivas alias Nani(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Vijayawada
Reddppa(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Chittoor
PV Midun Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Rajampet
Reddppa(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Chittoor
Balle Durgaprasad(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Tirupati
Adala Prabhakar Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nellore
YS Avinash Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kadapa
Adala Prabhakar Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Nellore
Raigarh,Vishnu Deo Sai (BJP),Andhra Pradesh,Anantapur
YS Avinash Reddy(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Kadapa
Reddppa(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Chittoor
Balle Durgaprasad(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Tirupati
Selvaraj(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Nagapattinam
Palanimanickam.S.S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Thanjavur
Selvaraj(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Nagapattinam
Ramalingam. S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Mayiladuthurai
Thol. Thirumavalavan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Chidambaram
Ramalingam. S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Mayiladuthurai
V. Vaithilingam(Leading),Vishnu Deo Sai (BJP),Puducherry,Puducherry
Ramalingam. S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Mayiladuthurai
T. R. V .S. Ramesh(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Cuddalore
V. Vaithilingam(Leading),Vishnu Deo Sai (BJP),Puducherry,Puducherry
RAVIKUMAR D(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Viluppuram
Selvam.G(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Kancheepuram
Baalu.T.R.(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Sriperumbudur
Dayanidhi Maran(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Chennai Central
Dr.K.Jayakumar(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Thiruvallur
S. Jagathrakshakan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Arakkonam
Raigarh,Vishnu Deo Sai (BJP),Tamil Nadu,Vellore
Reddppa(Leading),Vishnu Deo Sai (BJP),Andhra Pradesh,Chittoor
Dr. A Chellakumar(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Krishnagiri
Senthil Kumar.S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Dharmapuri
Parthiban.S.R(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Salem
Gautham Sigamani P(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Kallakurichi
Annadurai C N(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Tiruvannamalai
Raigarh,Vishnu Deo Sai (BJP),Tamil Nadu,Vellore
Annadurai C N(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Tiruvannamalai
Gautham Sigamani P(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Kallakurichi
RAVIKUMAR D(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Viluppuram
T. R. V .S. Ramesh(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Cuddalore
Thol. Thirumavalavan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Chidambaram
Dr Paarivendhar T R(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Perambalur
CHINRAJ A.K.P(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Namakkal
Ganeshamurthi A(Won),Vishnu Deo Sai (BJP),Tamil Nadu,Erode
K Shanmugasundaram(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Pollachi
P. R. Natarajan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Coimbatore
K. Subbarayan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Tiruppur
Raigarh,Vishnu Deo Sai (BJP),Tamil Nadu,Nilgiris
Ganeshamurthi A(Won),Vishnu Deo Sai (BJP),Tamil Nadu,Erode
"Velusamy, P.(Leading)",Vishnu Deo Sai (BJP),Tamil Nadu,Dindigul
Selvi Jothimani(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Karur
Su. Thirunnavukkarasar(Won),Vishnu Deo Sai (BJP),Tamil Nadu,Tiruchirappalli
Palanimanickam.S.S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Thanjavur
Selvaraj(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Nagapattinam
Su. Thirunnavukkarasar(Won),Vishnu Deo Sai (BJP),Tamil Nadu,Tiruchirappalli
Karti P Chidambaram(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Sivaganga
Su. Venkatesan(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Madurai
"Raveendranath Kumar, P(Leading)",Vishnu Deo Sai (BJP),Tamil Nadu,Theni
Manickam Tagore(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Virudhunagar
Kanimozhi Karunanidhi(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Thoothukkudi
Gnanathiraviam S(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Tirunelveli
H. Vasanthakumar(Leading),Vishnu Deo Sai (BJP),Tamil Nadu,Kanniyakumari
