Company,Date,Experience,Job URL,Job id,Key skills,Location,Salary,Title
Keyassignments IT Solutions Pvt Ltd,1 day ago,4-7 yrs,https://www.naukri.com/job-listings-Data-Science-sapient-perm-Keyassignments-IT-Solutions-Pvt-Ltd-Bengaluru-4-to-7-years-070518004367?src=jobsearchDesk&sid=15518442008280&xp=1&px=1,070518004367,"Python, R, Unix, Linux, SQL",Bengaluru,Not disclosed,"Data Science @sapient(perm) ,"
"Optum, a UnitedHealth Group Company",1 day ago,8-13 yrs,https://www.naukri.com/job-listings-Senior-Manager-Data-Science-Gurgaon-HR-Optum-a-UnitedHealth-Group-Company-Gurgaon-8-to-13-years-050319900979?src=jobsearchDesk&sid=15518442008280&xp=2&px=1,050319900979,"Senior Manager - Data Science - Gurgaon, HR",Gurgaon,Not disclosed,"Senior Manager - Data Science - Gurgaon, HR"
vConstruct Private Limited,1 day ago,8-13 yrs,https://www.naukri.com/job-listings-Data-Science-Business-Manager-vConstruct-Private-Limited-Pune-Hadapsar-8-to-13-years-050319008025?src=jobsearchDesk&sid=15518442008280&xp=3&px=1,050319008025,"Data Mining, Data Analysis, Data Science, Pricing Strategy, Test Data...",Pune(Hadapsar),Not disclosed,Data Science Business Manager
Accenture,1 day ago,1-5 yrs,https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-5-years-010319901757?src=jobsearchDesk&sid=15518442008280&xp=4&px=1,010319901757,"Python, Data modeling, MATLAB, SPSS, Computer science, Machine learning...",Bengaluru,Not disclosed,Data Science (jupyter/azure Ml/matlab)
Shell India Markets Private Limited,2 days ago,2-3 yrs,https://www.naukri.com/job-listings-Team-Lead-Data-Science-Shell-India-Markets-Private-Limited-Chennai-2-to-3-years-040319900570?src=jobsearchDesk&sid=15518442008280&xp=5&px=1,040319900570,"Factor Analysis, Deep Learning, Neural Networks, R, Multivariate Analysis...",Chennai,Not disclosed,Team Lead - Data Science
Cognizant Technology Solutions India Ltd,15 days ago,3-6 yrs,https://www.naukri.com/job-listings-Data-Science-spark-Professional-Cognizant-Technology-Solutions-India-Ltd-Chennai-Hyderabad-3-to-6-years-190219004818?src=jobsearchDesk&sid=15518442008280&xp=6&px=1,190219004818,"Data Science / Spark, Azure ML, R, Python, Machine learning...","Chennai, Hyderabad",Not disclosed,Data Science/spark Professional
WebTek Labs Pvt. Ltd.,1 day ago,2-5 yrs,https://www.naukri.com/job-listings-Data-Science-Trainer-WebTek-Labs-Pvt-Ltd-Delhi-NCR-Rajouri-garden-2-to-5-years-050319005958?src=jobsearchDesk&sid=15518442008280&xp=7&px=1,050319005958,"presentable, data science, communication skills, trainers",Delhi NCR(Rajouri garden),"2,00,000 - 3,50,000 P.A.",Data Science Trainer
Accenture,12 days ago,1-4 yrs,https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-4-years-220219901505?src=jobsearchDesk&sid=15518442008280&xp=8&px=1,220219901505,"MATLAB, Analytical, Python, Data mining, Analytics, Machine learning...",Bengaluru,Not disclosed,Data Science (jupyter/azure Ml/matlab)
Avyayh,2 days ago,6-11 yrs,https://www.naukri.com/job-listings-Opening-for-Data-Science-With-the-Leadng-Product-Based-Company-Avyayh-Chennai-6-to-11-years-120219009028?src=jobsearchDesk&sid=15518442008280&xp=9&px=1,120219009028,"data science, spark, python, postgresql",Chennai,"10,00,000 - 18,00,000 P.A.",Opening for Data Science With the Leadng Product Based Company
Accenture,12 days ago,1-4 yrs,https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-4-years-220219901499?src=jobsearchDesk&sid=15518442008280&xp=10&px=1,220219901499,"MATLAB, Python, Data mining, Analytics, Machine learning, Outsourcing...",Bengaluru,Not disclosed,Data Science (jupyter/azure Ml/matlab)
